market year,calendar year,calendar month,commodity,attribute,unit,amount,country
2025,2025,12,soybean oil,crush,1000 metric tons,15300.0,european
2025,2025,12,soybean oil,extraction rate,percentage,0.19,european
2025,2025,12,soybean oil,beginning stocks,1000 metric tons,596.0,european
2025,2025,12,soybean oil,production,1000 metric tons,2907.0,european
2025,2025,12,soybean oil,imports,1000 metric tons,650.0,european
2025,2025,12,soybean oil,total supply,1000 metric tons,4153.0,european
2025,2025,12,soybean oil,exports,1000 metric tons,850.0,european
2025,2025,12,soybean oil,industrial domestic consumption,1000 metric tons,1250.0,european
2025,2025,12,soybean oil,food use domestic consumption,1000 metric tons,1500.0,european
2025,2025,12,soybean oil,feed waste domestic consumption,1000 metric tons,55.0,european
2025,2025,12,soybean oil,domestic consumption,1000 metric tons,2805.0,european
2025,2025,12,soybean oil,ending stocks,1000 metric tons,498.0,european
2025,2025,12,soybean oil,total distribution,1000 metric tons,4153.0,european
2025,2025,12,soybean oil,crush,1000 metric tons,6800.0,mexico
2025,2025,12,soybean oil,extraction rate,percentage,0.1846,mexico
2025,2025,12,soybean oil,beginning stocks,1000 metric tons,164.0,mexico
2025,2025,12,soybean oil,production,1000 metric tons,1255.0,mexico
2025,2025,12,soybean oil,imports,1000 metric tons,200.0,mexico
2025,2025,12,soybean oil,total supply,1000 metric tons,1619.0,mexico
2025,2025,12,soybean oil,exports,1000 metric tons,40.0,mexico
2025,2025,12,soybean oil,industrial domestic consumption,1000 metric tons,0.0,mexico
2025,2025,12,soybean oil,food use domestic consumption,1000 metric tons,1380.0,mexico
2025,2025,12,soybean oil,feed waste domestic consumption,1000 metric tons,0.0,mexico
2025,2025,12,soybean oil,domestic consumption,1000 metric tons,1380.0,mexico
2025,2025,12,soybean oil,ending stocks,1000 metric tons,199.0,mexico
2025,2025,12,soybean oil,total distribution,1000 metric tons,1619.0,mexico
2025,2025,12,wheat,area harvested,1000 hectares,15071.0,united
2025,2025,12,wheat,beginning stocks,1000 metric tons,23147.0,united
2025,2025,12,wheat,production,1000 metric tons,54010.0,united
2025,2025,12,wheat,imports,1000 metric tons,3266.0,united
2025,2025,12,wheat,trade year imports,1000 metric tons,3250.0,united
2025,2025,12,wheat,trade year imports from u.s.,1000 metric tons,0.0,united
2025,2025,12,wheat,total supply,1000 metric tons,80423.0,united
2025,2025,12,wheat,exports,1000 metric tons,24494.0,united
2025,2025,12,wheat,trade year exports,1000 metric tons,24500.0,united
2025,2025,12,wheat,feed domestic consumption,1000 metric tons,3266.0,united
2025,2025,12,wheat,"food, seed, and industrial consumption",1000 metric tons,28141.0,united
2025,2025,12,wheat,domestic consumption,1000 metric tons,31407.0,united
2025,2025,12,wheat,ending stocks,1000 metric tons,24522.0,united
2025,2025,12,wheat,total distribution,1000 metric tons,80423.0,united
2025,2025,12,wheat,yield,yield (metric tons per hectare),3.5837,united
2025,2025,12,wheat,area harvested,1000 hectares,23600.0,china
2025,2025,12,wheat,beginning stocks,1000 metric tons,127777.0,china
2025,2025,12,wheat,production,1000 metric tons,140000.0,china
2025,2025,12,wheat,imports,1000 metric tons,6000.0,china
2025,2025,12,wheat,trade year imports,1000 metric tons,6000.0,china
2025,2025,12,wheat,trade year imports from u.s.,1000 metric tons,0.0,china
2025,2025,12,wheat,total supply,1000 metric tons,273777.0,china
2025,2025,12,wheat,exports,1000 metric tons,1000.0,china
2025,2025,12,wheat,trade year exports,1000 metric tons,1000.0,china
2025,2025,12,wheat,feed domestic consumption,1000 metric tons,31000.0,china
2025,2025,12,wheat,"food, seed, and industrial consumption",1000 metric tons,117000.0,china
2025,2025,12,wheat,domestic consumption,1000 metric tons,148000.0,china
2025,2025,12,wheat,ending stocks,1000 metric tons,124777.0,china
2025,2025,12,wheat,total distribution,1000 metric tons,273777.0,china
2025,2025,12,wheat,yield,yield (metric tons per hectare),5.9322,china
2025,2025,12,soybeans,area harvested,1000 hectares,155.0,japan
2025,2025,12,soybeans,beginning stocks,1000 metric tons,201.0,japan
2025,2025,12,soybeans,production,1000 metric tons,250.0,japan
2025,2025,12,soybeans,imports,1000 metric tons,3100.0,japan
2025,2025,12,soybeans,total supply,1000 metric tons,3551.0,japan
2025,2025,12,soybeans,exports,1000 metric tons,0.0,japan
2025,2025,12,soybeans,crush,1000 metric tons,2350.0,japan
2025,2025,12,soybeans,food use domestic consumption,1000 metric tons,900.0,japan
2025,2025,12,soybeans,feed waste domestic consumption,1000 metric tons,100.0,japan
2025,2025,12,soybeans,domestic consumption,1000 metric tons,3350.0,japan
2025,2025,12,soybeans,ending stocks,1000 metric tons,201.0,japan
2025,2025,12,soybeans,total distribution,1000 metric tons,3551.0,japan
