date_collected,week_ending_date,calendar_year,marketing_year,calendar_month,marketing_year_month,calendar_week,marketing_year_week,commodity,country,weekly_exports,accumulated_exports,outstanding_sales,gross_new_sales,current_marketing_year_net_sales,current_marketing_year_total_commitment,next_marketing_year_outstanding_sales,next_marketing_year_net_sales,unit
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,colombia,3173,662340,60550,20288,20288,722890,31000,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,japan,0,730557,152308,0,0,882865,24500,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,china,0,0,0,0,0,0,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,taiwan,8967,1150950,107775,4065,4039,1258725,2000,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,srw-wheat,mexico,15947,928035,215398,2624,-3482,1143433,126910,22000,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,world,312185,20534941,3839357,122993,100318,24374298,1325757,131000,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,vietnam,34813,600473,20000,883,34813,620473,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,indonesia,0,289254,50000,0,0,339254,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,srw-wheat,vietnam,0,7231,0,0,0,7231,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,european-union,0,3794981,0,0,0,3794981,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,bangladesh,0,58789,111,0,0,58900,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,china,0,335978,0,0,0,335978,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,srw-wheat,world,44765,2826880,474020,5105,-1520,3300900,236982,22000,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,thailand,0,179307,22500,600,600,201807,20000,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,mexico,36457,1827196,418921,18001,17872,2246117,96706,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,south-korea,392,6177,6700,1018,768,12877,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,guatemala,0,86056,3000,0,0,89056,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,thailand,5713,304218,35006,0,0,339224,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,honduras,0,233304,98333,0,-15,331637,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,taiwan,54271,855902,120175,1471,1471,976077,39550,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,indonesia,3675,132257,34116,1132,1132,166373,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,srw-wheat,indonesia,0,20444,1000,0,0,21444,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,indonesia,31227,1446602,415462,50963,50715,1862064,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,world,1558650,50520217,22266533,1551998,1400582,72786750,1490111,56460,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,european-union,0,393264,39200,0,0,432464,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,philippines,101529,2027941,746718,58275,58103,2774659,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,taiwan,12495,183642,36550,295,295,220192,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,china,345819,9635313,1889000,15819,15819,11524313,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,guatemala,38330,1096425,257249,25853,21433,1353674,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-oil,mexico,1242,74560,8909,1786,1786,83469,279,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,guatemala,0,325372,70513,12364,12364,395885,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,philippines,0,92748,0,0,0,92748,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,pakistan,0,0,96,0,0,96,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,world,345336,9589820,4306900,300715,254234,13896720,219773,1488,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,south-korea,0,291778,61585,0,0,353363,46705,18710,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,world,72024,7485074,1150107,27956,27827,8635181,238561,18710,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,indonesia,0,213031,65000,0,0,278031,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,pakistan,0,1092731,0,0,0,1092731,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,thailand,538,530457,127492,600,600,657949,55000,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,bangladesh,0,744261,0,0,0,744261,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,egypt,274060,3579807,750900,9335,58060,4330707,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,south-korea,110,1573018,304926,1000,1000,1877944,318630,90000,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,world,818468,31334458,6818557,258544,247886,38153015,242633,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,egypt,0,0,0,0,0,0,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,srw-wheat,guatemala,0,110193,11424,0,0,121617,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,philippines,18000,2272340,620900,0,-37000,2893240,246800,19000,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,honduras,0,80679,20500,0,0,101179,7000,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,japan,873,276406,111820,614,190,388226,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,vietnam,12989,900563,71565,10290,10090,972128,184,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,bangladesh,0,1132755,91400,0,-65,1224155,0,0,Metric Tons
